"filename", "language", "JSON", "Log", "JavaScript", "Docker", "comment", "blank", "total"
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\rolesRoutes.js", "JavaScript", 0, 0, 9, 0, 4, 8, 21
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\searchRoutes.js", "JavaScript", 0, 0, 13, 0, 2, 4, 19
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\sessionRoutes.js", "JavaScript", 0, 0, 7, 0, 2, 5, 14
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\subscriptionRoutes.js", "JavaScript", 0, 0, 86, 0, 9, 16, 111
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\upgradeRoutes.js", "JavaScript", 0, 0, 18, 0, 3, 4, 25
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\uploadRoutes.js", "JavaScript", 0, 0, 17, 0, 5, 7, 29
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\userRoutes.js", "JavaScript", 0, 0, 77, 0, 32, 35, 144
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\userSubscriptionRoutes.js", "JavaScript", 0, 0, 37, 0, 5, 7, 49
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\viewerRoutes.js", "JavaScript", 0, 0, 32, 0, 3, 4, 39
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\routes\watchRoutes.js", "JavaScript", 0, 0, 14, 0, 5, 6, 25
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\seeds\seedAdmin.js", "JavaScript", 0, 0, 23, 0, 0, 6, 29
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\services\emailService.js", "JavaScript", 0, 0, 206, 0, 10, 24, 240
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\services\paymentService.js", "JavaScript", 0, 0, 253, 0, 21, 53, 327
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\services\pesapalService.js", "JavaScript", 0, 0, 147, 0, 2, 22, 171
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\services\upgradeService.js", "JavaScript", 0, 0, 438, 0, 87, 91, 616
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\test-mtn.js", "JavaScript", 0, 0, 28, 0, 3, 7, 38
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\testCardPayment.js", "JavaScript", 0, 0, 32, 0, 9, 9, 50
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\utils\filePaths.js", "JavaScript", 0, 0, 15, 0, 0, 3, 18
"Total", "-", 6695, 29, 21456, 15, 1573, 3165, 32933
