"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "JSON", "HTML", "Markdown", "XML", "YAML", "comment", "blank", "total"
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\library\GenresCategories.jsx", "JavaScript JSX", 1029, 0, 0, 0, 0, 0, 0, 0, 25, 67, 1121
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\library\Library.jsx", "JavaScript JSX", 175, 0, 0, 0, 0, 0, 0, 0, 12, 31, 218
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\library\PeopleManagement.jsx", "JavaScript JSX", 783, 0, 0, 0, 0, 0, 0, 0, 19, 46, 848
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\overview\Overview.jsx", "JavaScript JSX", 90, 0, 0, 0, 0, 0, 0, 0, 1, 11, 102
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\subscriptions\Subscriptions.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\support\AllContacts.jsx", "JavaScript JSX", 174, 0, 0, 0, 0, 0, 0, 0, 13, 27, 214
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\support\ContactModal.jsx", "JavaScript JSX", 524, 0, 0, 0, 0, 0, 0, 0, 10, 39, 573
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\support\ContactSettings.jsx", "JavaScript JSX", 198, 0, 0, 0, 0, 0, 0, 0, 9, 16, 223
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\support\ContactStats.jsx", "JavaScript JSX", 365, 0, 0, 0, 0, 0, 0, 0, 15, 26, 406
"c:\Users\SAMUEL\Documents\Github\Oliviuus\frontend\src\pages\Dashboards\Admins\support\ContactsList.jsx", "JavaScript JSX", 172, 0, 0, 0, 0, 0, 0, 0, 10, 19, 201
